Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.768	0:00.000	decimal	Cue	
Marker 16	0:02.379	0:00.000	decimal	Cue	
Marker 03	0:04.888	0:00.000	decimal	Cue	
Marker 05	0:10.079	0:00.000	decimal	Cue	
Marker 06	0:19.282	0:00.000	decimal	Cue	
Marker 07	0:27.327	0:00.000	decimal	Cue	
Marker 09	0:33.487	0:00.000	decimal	Cue	
Marker 11	0:37.589	0:00.000	decimal	Cue	
Marker 12	0:42.681	0:00.000	decimal	Cue	
Marker 13	0:46.394	0:00.000	decimal	Cue	
Marker 14	0:51.218	0:00.000	decimal	Cue	
Marker 15	0:53.965	0:00.000	decimal	Cue	
