Name	Start	Duration	Time Format	Type	Description
Marker 01	19:50.916	0:00.000	decimal	Cue	
Marker 02	19:55.266	0:00.000	decimal	Track	
Marker 03	20:00.013	0:00.000	decimal	Track	
Marker 04	20:04.894	0:00.000	decimal	Cue	
Marker 05	20:09.461	0:00.000	decimal	Cue	
Marker 06	20:14.536	0:00.000	decimal	Cue	
CD Track 01	20:18.466	0:00.000	decimal	Track	
Marker 07	20:20.293	0:00.000	decimal	Track	
CD Track 02	20:24.066	0:00.000	decimal	Track	
Marker 08	20:26.013	0:00.000	decimal	Track	
Marker 09	20:32.426	0:00.000	decimal	Track	
Marker 10	20:38.133	0:00.000	decimal	Track	
Marker 11	20:41.978	0:00.000	decimal	Cue	
